scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
FEE-011,REC-BNK-001,BNK-FEE-011-001,ORD-FEE-011-B,2925.00,2026-08-02,Refund processing
RND-008,REC-BNK-001,BNK-RND-008-001,ORD-RND-008-B,1240.05,2026-08-02,Bank credit
REFD-002,REC-BNK-001,BNK-REFD-002-001,ORD-REFD-002-B,980.00,2026-08-02,Commission disbursement
SPLT-002,REC-BNK-001,BNK-SPLT-002-001,ORD-SPLT-002-B,7740.00,2026-08-02,Adjustment entry
FEE-007,REC-BNK-001,BNK-FEE-007-001,ORD-FEE-007-B,1645.00,2026-08-02,Bank credit
FEE-006,REC-BNK-001,BNK-FEE-006-001,ORD-FEE-006-B,10350.00,2026-08-02,Wire transfer
SPLT-008,REC-BNK-001,BNK-SPLT-008-001,ORD-SPLT-008-B,10270.00,2026-08-02,Reconciliation entry
RND-006,REC-BNK-001,BNK-RND-006-001,ORD-RND-006-B,1720.02,2026-08-01,Payment gateway transfer
FEE-010,REC-BNK-001,BNK-FEE-010-001,ORD-FEE-010-B,1665.00,2026-08-02,Client remittance
RND-012,REC-BNK-001,BNK-RND-012-001,ORD-RND-012-B,1790.00,2026-08-01,Wallet transfer
EXACT-017,REC-BNK-001,BNK-EXACT-017-001,ORD-EXACT-017,1660.00,2026-08-02,Commission disbursement
EXACT-014,REC-BNK-001,BNK-EXACT-014-001,ORD-EXACT-014,20130.00,2026-08-01,Vendor payout
EXACT-002,REC-BNK-001,BNK-EXACT-002-001,ORD-EXACT-002,1260.00,2026-08-01,UPI transaction
RND-007,REC-BNK-001,BNK-RND-007-001,ORD-RND-007-B,3230.02,2026-08-01,Settlement transfer
REFD-005,REC-BNK-001,BNK-REFD-005-001,ORD-REFD-005-B,19760.00,2026-08-02,Client remittance
UNQ-008,REC-BNK-001,BNK-UNQ-008-001,ORD-UNQ-008,6070.00,2026-08-01,Refund processing
SPLT-010,REC-BNK-001,BNK-SPLT-010-001,ORD-SPLT-010-B,7810.00,2026-08-01,Payment for services rendered
DUP-009,REC-BNK-001,BNK-DUP-009-001,ORD-DUP-009-B,6480.00,2026-08-06,Payment for services rendered
LATE-008,REC-BNK-001,BNK-LATE-008-001,ORD-LATE-008-B,8670.00,2026-08-22,Direct deposit
RND-011,REC-BNK-001,BNK-RND-011-001,ORD-RND-011-B,3280.00,2026-08-01,Adjustment entry
RND-002,REC-BNK-001,BNK-RND-002-001,ORD-RND-002-B,1180.01,2026-08-01,Bank credit
RND-009,REC-BNK-001,BNK-RND-009-001,ORD-RND-009-B,2252.50,2026-08-01,Settlement transfer
FEE-012,REC-BNK-001,BNK-FEE-012-001,ORD-FEE-012-B,1160.00,2026-08-01,Invoice settlement
REFD-007,REC-BNK-001,BNK-REFD-007-001,ORD-REFD-007-B,19780.00,2026-08-02,Invoice settlement
FEE-008,REC-BNK-001,BNK-FEE-008-001,ORD-FEE-008-B,2870.00,2026-08-01,Order fulfillment payment
LATE-005,REC-BNK-001,BNK-LATE-005-001,ORD-LATE-005-B,6140.00,2026-08-15,Wire transfer
REFD-010,REC-BNK-001,BNK-REFD-010-001,ORD-REFD-010-B,560.00,2026-08-02,Order fulfillment payment
DUP-005,REC-BNK-001,BNK-DUP-005-001,ORD-DUP-005-B,16440.00,2026-08-06,Client remittance
FEE-001,REC-BNK-001,BNK-FEE-001-001,ORD-FEE-001-B,1585.00,2026-08-01,UPI transaction
UNQ-003,REC-BNK-001,BNK-UNQ-003-001,ORD-UNQ-003,2020.00,2026-08-01,Online payment
SPLT-001,REC-BNK-002,BNK-SPLT-001-002,ORD-SPLT-001-C,5295.00,2026-08-01,Wire transfer
REFD-006,REC-BNK-001,BNK-REFD-006-001,ORD-REFD-006-B,1270.00,2026-08-01,UPI transaction
EXACT-001,REC-BNK-001,BNK-EXACT-001-001,ORD-EXACT-001,15000.00,2026-08-02,Refund processing
LATE-002,REC-BNK-001,BNK-LATE-002-001,ORD-LATE-002-B,2610.00,2026-08-11,Client remittance
SPLT-005,REC-BNK-001,BNK-SPLT-005-001,ORD-SPLT-005-B,1045.00,2026-08-01,Refund processing
SPLT-006,REC-BNK-001,BNK-SPLT-006-001,ORD-SPLT-006-B,790.00,2026-08-02,Wallet transfer
TDLY-011,REC-BNK-001,BNK-TDLY-011-001,ORD-TDLY-011,800.00,2026-08-02,Direct deposit
NARR-007,REC-BNK-001,BNK-NARR-007-001,ORD-NARR-007-B,21860.00,2026-08-19,Transfer mentioning ORD-NARR-007
EXACT-009,REC-BNK-001,BNK-EXACT-009-001,ORD-EXACT-009,20080.00,2026-08-02,Monthly subscription fee
NARR-004,REC-BNK-001,BNK-NARR-004-001,ORD-NARR-004-B,11830.00,2026-08-21,Transfer mentioning ORD-NARR-004
FEE-005,REC-BNK-001,BNK-FEE-005-001,ORD-FEE-005-B,15340.00,2026-08-01,UPI transaction
SPLT-002,REC-BNK-002,BNK-SPLT-002-002,ORD-SPLT-002-C,7840.00,2026-08-01,Payment gateway transfer
TDLY-015,REC-BNK-001,BNK-TDLY-015-001,ORD-TDLY-015,5340.00,2026-08-03,Refund processing
REFD-004,REC-BNK-001,BNK-REFD-004-001,ORD-REFD-004-B,2500.00,2026-08-02,Wire transfer
EXACT-004,REC-BNK-001,BNK-EXACT-004-001,ORD-EXACT-004,1280.00,2026-08-01,Card settlement
LATE-003,REC-BNK-001,BNK-LATE-003-001,ORD-LATE-003-B,2120.00,2026-08-08,Commission disbursement
SPLT-003,REC-BNK-001,BNK-SPLT-003-001,ORD-SPLT-003-B,900.00,2026-08-01,Reconciliation entry
