scenario_ref,synthetic_ref,bank_utr,order_id,credit_amount,value_date,narration
SPLT-007,REC-BNK-002,BNK-894b0bfa-002,ORD-894b0bfa-C,1115.00,2026-08-01,Order fulfillment payment
SPLT-010,REC-BNK-002,BNK-96f3b64a-002,ORD-96f3b64a-C,7850.00,2026-08-02,Client remittance
FEE-004,REC-BNK-001,BNK-2c1ae13a-001,ORD-2c1ae13a-B,2365.00,2026-08-01,Adjustment entry
NARR-001,REC-BNK-001,BNK-abc23d49-001,ORD-abc23d49-B,11300.00,2026-08-15,Transfer mentioning ORD-abc23d49-B
EXACT-019,REC-BNK-001,BNK-51b0a977-001,ORD-51b0a977,1680.00,2026-08-02,UPI transaction
DUP-002,REC-BNK-001,BNK-02dadfc2-001,ORD-02dadfc2-B,6410.00,2026-08-06,Online payment
TDLY-001,REC-BNK-001,BNK-69af1390-001,ORD-69af1390,1200.00,2026-08-03,Invoice settlement
FEE-009,REC-BNK-001,BNK-8f5fbd01-001,ORD-8f5fbd01-B,880.00,2026-08-01,Refund processing
SPLT-008,REC-BNK-002,BNK-a08f3d70-002,ORD-a08f3d70-C,10370.00,2026-08-01,Payment gateway transfer
REFD-009,REC-BNK-001,BNK-e469eebe-001,ORD-e469eebe-B,7850.00,2026-08-01,Wallet transfer
FEE-011,REC-BNK-001,BNK-446a22be-001,ORD-446a22be-B,2925.00,2026-08-02,Refund processing
RND-008,REC-BNK-001,BNK-d1dd4c32-001,ORD-d1dd4c32-B,1240.05,2026-08-02,Bank credit
REFD-002,REC-BNK-001,BNK-7409bf96-001,ORD-7409bf96-B,980.00,2026-08-02,Commission disbursement
SPLT-002,REC-BNK-001,BNK-c11ec485-001,ORD-c11ec485-B,7740.00,2026-08-02,Adjustment entry
FEE-007,REC-BNK-001,BNK-7369f0d7-001,ORD-7369f0d7-B,1645.00,2026-08-02,Bank credit
FEE-006,REC-BNK-001,BNK-c41aa819-001,ORD-c41aa819-B,10350.00,2026-08-02,Wire transfer
SPLT-008,REC-BNK-001,BNK-a08f3d70-001,ORD-a08f3d70-B,10270.00,2026-08-02,Reconciliation entry
RND-006,REC-BNK-001,BNK-b01de657-001,ORD-b01de657-B,1720.02,2026-08-01,Payment gateway transfer
FEE-010,REC-BNK-001,BNK-34fc9ed2-001,ORD-34fc9ed2-B,1665.00,2026-08-02,Client remittance
RND-012,REC-BNK-001,BNK-3f7168a2-001,ORD-3f7168a2-B,1790.00,2026-08-01,Wallet transfer
EXACT-017,REC-BNK-001,BNK-c83d6f90-001,ORD-c83d6f90,1660.00,2026-08-02,Commission disbursement
EXACT-014,REC-BNK-001,BNK-e5fbe318-001,ORD-e5fbe318,20130.00,2026-08-01,Vendor payout
EXACT-002,REC-BNK-001,BNK-7bd4c3f4-001,ORD-7bd4c3f4,1260.00,2026-08-01,UPI transaction
RND-007,REC-BNK-001,BNK-c7226560-001,ORD-c7226560-B,3230.02,2026-08-01,Settlement transfer
REFD-005,REC-BNK-001,BNK-f1533c72-001,ORD-f1533c72-B,19760.00,2026-08-02,Client remittance
UNQ-008,REC-BNK-001,BNK-112eed84-001,ORD-112eed84,6070.00,2026-08-01,Refund processing
SPLT-010,REC-BNK-001,BNK-96f3b64a-001,ORD-96f3b64a-B,7810.00,2026-08-01,Payment for services rendered
DUP-009,REC-BNK-001,BNK-65e9a1fe-001,ORD-65e9a1fe-B,6480.00,2026-08-06,Payment for services rendered
LATE-008,REC-BNK-001,BNK-b5f7b21a-001,ORD-b5f7b21a-B,8670.00,2026-08-22,Direct deposit
RND-011,REC-BNK-001,BNK-49d1e863-001,ORD-49d1e863-B,3280.00,2026-08-01,Adjustment entry
RND-002,REC-BNK-001,BNK-29c2bcba-001,ORD-29c2bcba-B,1180.01,2026-08-01,Bank credit
RND-009,REC-BNK-001,BNK-8f3dbdfd-001,ORD-8f3dbdfd-B,2252.50,2026-08-01,Settlement transfer
FEE-012,REC-BNK-001,BNK-a523cc54-001,ORD-a523cc54-B,1160.00,2026-08-01,Invoice settlement
REFD-007,REC-BNK-001,BNK-a0fc54b4-001,ORD-a0fc54b4-B,19780.00,2026-08-02,Invoice settlement
FEE-008,REC-BNK-001,BNK-be1a1409-001,ORD-be1a1409-B,2870.00,2026-08-01,Order fulfillment payment
LATE-005,REC-BNK-001,BNK-a7d986aa-001,ORD-a7d986aa-B,6140.00,2026-08-15,Wire transfer
REFD-010,REC-BNK-001,BNK-1dd8d14a-001,ORD-1dd8d14a-B,560.00,2026-08-02,Order fulfillment payment
DUP-005,REC-BNK-001,BNK-0ac2a8bc-001,ORD-0ac2a8bc-B,16440.00,2026-08-06,Client remittance
FEE-001,REC-BNK-001,BNK-408762a0-001,ORD-408762a0-B,1585.00,2026-08-01,UPI transaction
UNQ-003,REC-BNK-001,BNK-8c1c3d04-001,ORD-8c1c3d04,2020.00,2026-08-01,Online payment
SPLT-001,REC-BNK-002,BNK-48688aa7-002,ORD-48688aa7-C,5295.00,2026-08-01,Wire transfer
REFD-006,REC-BNK-001,BNK-c6d4f778-001,ORD-c6d4f778-B,1270.00,2026-08-01,UPI transaction
EXACT-001,REC-BNK-001,BNK-28b14c40-001,ORD-28b14c40,15000.00,2026-08-02,Refund processing
LATE-002,REC-BNK-001,BNK-6e8595f5-001,ORD-6e8595f5-B,2610.00,2026-08-11,Client remittance
SPLT-005,REC-BNK-001,BNK-85e11505-001,ORD-85e11505-B,1045.00,2026-08-01,Refund processing
SPLT-006,REC-BNK-001,BNK-14acf163-001,ORD-14acf163-B,790.00,2026-08-02,Wallet transfer
TDLY-011,REC-BNK-001,BNK-861584ae-001,ORD-861584ae,800.00,2026-08-02,Direct deposit
NARR-007,REC-BNK-001,BNK-ae006077-001,ORD-ae006077-B,21860.00,2026-08-19,Transfer mentioning ORD-ae006077-B
EXACT-009,REC-BNK-001,BNK-ca6681b0-001,ORD-ca6681b0,20080.00,2026-08-02,Monthly subscription fee
NARR-004,REC-BNK-001,BNK-532d48e6-001,ORD-532d48e6-B,11830.00,2026-08-21,Transfer mentioning ORD-532d48e6-B
FEE-005,REC-BNK-001,BNK-80eedc54-001,ORD-80eedc54-B,15340.00,2026-08-01,UPI transaction
SPLT-002,REC-BNK-002,BNK-c11ec485-002,ORD-c11ec485-C,7840.00,2026-08-01,Payment gateway transfer
TDLY-015,REC-BNK-001,BNK-20d3092d-001,ORD-20d3092d,5340.00,2026-08-03,Refund processing
REFD-004,REC-BNK-001,BNK-f0b43f03-001,ORD-f0b43f03-B,2500.00,2026-08-02,Wire transfer
EXACT-004,REC-BNK-001,BNK-e91bc649-001,ORD-e91bc649,1280.00,2026-08-01,Card settlement
LATE-003,REC-BNK-001,BNK-d69cad2d-001,ORD-d69cad2d-B,2120.00,2026-08-08,Commission disbursement
SPLT-003,REC-BNK-001,BNK-eb34da40-001,ORD-eb34da40-B,900.00,2026-08-01,Reconciliation entry
